   2   3   5   7  10  11  14  16  18  19   -1.00000000000E+00  -3.83348768642E+02   3.24963998039E-02
   1   4   6   8   9  12  13  15  17  20    1.00000000000E+00  -3.83348768642E+02   3.24963998039E-02
   2   4   5   7   9  11  14  16  18  19    5.45993163888E-01  -3.83348637045E+02   5.38043296176E-02
   2   3   6   7  10  11  14  16  17  19    5.46015027460E-01  -3.83348628766E+02   5.38040206144E-02
   1   3   6   8  10  12  13  15  17  20   -5.45993163888E-01  -3.83348637045E+02   5.38043296176E-02
   1   4   5   8   9  12  13  15  18  20   -5.46015027460E-01  -3.83348628766E+02   5.38040206144E-02
   2   3   5   7  10  12  13  16  18  19    5.46015026396E-01  -3.83348636660E+02   5.38023303878E-02
   2   3   5   7  10  11  14  15  18  20    5.46008010781E-01  -3.83348623956E+02   5.38042862479E-02
   1   4   6   8   9  11  14  15  17  20   -5.46015026396E-01  -3.83348636660E+02   5.38023303878E-02
   1   4   6   8   9  12  13  16  17  19   -5.46008010781E-01  -3.83348623956E+02   5.38042862479E-02
   2   4   5   7   9  12  13  16  18  19   -5.40073868032E-01  -3.83351477426E+02   5.47670978660E-02
   2   3   6   7  10  11  14  15  17  20   -5.40073865362E-01  -3.83351476636E+02   5.47685223312E-02
   1   3   6   8  10  11  14  15  17  20    5.40073868032E-01  -3.83351477426E+02   5.47670978660E-02
   1   4   5   8   9  12  13  16  18  19    5.40073865362E-01  -3.83351476636E+02   5.47685223312E-02
   2   3   4   5   7  11  14  16  18  19    4.72841400793E-01  -3.83350210939E+02   5.25016976732E-02
   2   3   7  10  11  14  16  17  18  19    4.72793875894E-01  -3.83350346384E+02   5.25064356175E-02
   2   3   5   7  10  11  14  18  19  20   -4.72841925988E-01  -3.83350215295E+02   5.25013828107E-02
   1   3   4   6   8  12  13  15  17  20    4.72841400793E-01  -3.83350210939E+02   5.25016976732E-02
   2   3   5   7  10  13  14  16  18  19    4.72841528622E-01  -3.83350339754E+02   5.25059313155E-02
   1   4   6   8   9  12  13  17  19  20   -4.72841925988E-01  -3.83350215295E+02   5.25013828107E-02
   1   4   6   8   9  13  14  15  17  20    4.72841528622E-01  -3.83350339754E+02   5.25059313155E-02
   1   4   8   9  12  13  15  17  18  20    4.72793875894E-01  -3.83350346384E+02   5.25064356175E-02
   2   3   5   6   7  10  11  14  16  19    4.69557333821E-01  -3.83347669595E+02   5.39599380729E-02
   1   4   5   6   8   9  12  13  15  20    4.69557333821E-01  -3.83347669595E+02   5.39599380729E-02
   2   5   7   9  10  11  14  16  18  19    4.69566567766E-01  -3.83347691020E+02   5.39580406188E-02
   2   3   5   7  10  11  12  16  18  19    4.69513573155E-01  -3.83347783292E+02   5.39604117579E-02
   2   3   5   7  10  11  14  15  16  18   -4.69564272074E-01  -3.83347696264E+02   5.39591833906E-02
   1   6   8   9  10  12  13  15  17  20    4.69566567766E-01  -3.83347691020E+02   5.39580406188E-02
   1   4   6   8   9  11  12  15  17  20    4.69513573155E-01  -3.83347783292E+02   5.39604117579E-02
   1   4   6   8   9  12  13  15  16  17   -4.69564272074E-01  -3.83347696264E+02   5.39591833906E-02
   2   3   4   5   7  10  11  16  18  19    3.63872540432E-01  -3.83353710860E+02   6.13430462894E-02
   1   3   4   6   8   9  12  15  17  20    3.63872540432E-01  -3.83353710860E+02   6.13430462894E-02
   2   3   5   7  10  11  14  16  19  20    3.63905969775E-01  -3.83353676521E+02   6.13398957779E-02
   1   4   6   8   9  12  13  15  19  20    3.63905969775E-01  -3.83353676521E+02   6.13398957779E-02
   2   3   5   7  10  11  14  16  17  18    3.63902175872E-01  -3.83353690058E+02   6.13392098049E-02
   1   4   6   8   9  12  13  15  17  18    3.63902175872E-01  -3.83353690058E+02   6.13392098049E-02
   2   5   7  10  11  13  14  16  18  19    3.63900500111E-01  -3.83353761575E+02   6.13435258168E-02
   1   6   8   9  12  13  14  15  17  20    3.63900500111E-01  -3.83353761575E+02   6.13435258168E-02
   1   2   3   5  10  11  14  16  18  19   -3.59449383434E-01  -3.83343484245E+02   7.49719821248E-02
   3   5   7   8  10  11  14  16  18  19   -3.59442848574E-01  -3.83343508935E+02   7.49682560453E-02
   1   2   4   6   9  12  13  15  17  20   -3.59449383434E-01  -3.83343484245E+02   7.49719821248E-02
   4   6   7   8   9  12  13  15  17  20   -3.59442848574E-01  -3.83343508935E+02   7.49682560453E-02
   4   6   8   9  11  12  13  15  17  20    3.53320818538E-01  -3.83353010042E+02   6.57896971618E-02
   1   4   6   9  12  13  15  16  17  20   -3.53389530201E-01  -3.83352845259E+02   6.57811072349E-02
   3   5   7  10  11  12  14  16  18  19    3.53320818538E-01  -3.83353010042E+02   6.57896971618E-02
   3   5   6   7  10  11  14  16  18  19   -3.53402016682E-01  -3.83352872445E+02   6.57828426395E-02
