   2   3   5   7  10  11  14  16  18  19   -1.00000000000E+00  -3.83338962777E+02   3.50033538123E-02
   1   4   6   8   9  12  13  15  17  20    1.00000000000E+00  -3.83338962777E+02   3.50033538123E-02
   2   4   5   7   9  11  14  16  18  19    5.49405501898E-01  -3.83347250226E+02   5.54688638174E-02
   2   3   6   7  10  11  14  16  17  19    5.49462863345E-01  -3.83347211522E+02   5.54651597892E-02
   1   3   6   8  10  12  13  15  17  20   -5.49405501898E-01  -3.83347250226E+02   5.54688638174E-02
   1   4   5   8   9  12  13  15  18  20   -5.49462863345E-01  -3.83347211522E+02   5.54651597892E-02
   2   3   5   7  10  12  13  16  18  19    5.49462862405E-01  -3.83347211773E+02   5.54651356618E-02
   2   3   5   7  10  11  14  15  18  20    5.49405498753E-01  -3.83347261844E+02   5.54681461425E-02
   1   4   6   8   9  11  14  15  17  20   -5.49462862405E-01  -3.83347211773E+02   5.54651356618E-02
   1   4   6   8   9  12  13  16  17  19   -5.49405498753E-01  -3.83347261844E+02   5.54681461425E-02
   2   4   5   7   9  12  13  16  18  19   -5.33538988409E-01  -3.83359901578E+02   5.75706803498E-02
   2   3   6   7  10  11  14  15  17  20   -5.33538985394E-01  -3.83359899625E+02   5.75709532216E-02
   1   3   6   8  10  11  14  15  17  20    5.33538988409E-01  -3.83359901578E+02   5.75706803498E-02
   1   4   5   8   9  12  13  16  18  19    5.33538985394E-01  -3.83359899625E+02   5.75709532216E-02
   2   3   4   5   7  11  14  16  18  19    4.73996183250E-01  -3.83350901380E+02   5.44773053475E-02
   2   3   7  10  11  14  16  17  18  19    4.74055516331E-01  -3.83350818677E+02   5.44748244440E-02
   2   3   5   7  10  11  14  18  19  20   -4.73996177627E-01  -3.83350906052E+02   5.44770143871E-02
   1   3   4   6   8  12  13  15  17  20    4.73996183250E-01  -3.83350901380E+02   5.44773053475E-02
   2   3   5   7  10  13  14  16  18  19    4.74055528756E-01  -3.83350820671E+02   5.44740683010E-02
   1   4   6   8   9  12  13  17  19  20   -4.73996177627E-01  -3.83350906052E+02   5.44770143871E-02
   1   4   6   8   9  13  14  15  17  20    4.74055528756E-01  -3.83350820671E+02   5.44740683010E-02
   1   4   8   9  12  13  15  17  18  20    4.74055516331E-01  -3.83350818677E+02   5.44748244440E-02
   2   3   5   6   7  10  11  14  16  19    4.69357078372E-01  -3.83349158005E+02   5.61704488538E-02
   1   4   5   6   8   9  12  13  15  20    4.69357078372E-01  -3.83349158005E+02   5.61704488538E-02
   2   5   7   9  10  11  14  16  18  19    4.69298289733E-01  -3.83349254517E+02   5.61756151433E-02
   2   3   5   7  10  11  12  16  18  19    4.69357065257E-01  -3.83349156471E+02   5.61714477285E-02
   2   3   5   7  10  11  14  15  16  18   -4.69298292765E-01  -3.83349260701E+02   5.61744330281E-02
   1   6   8   9  10  12  13  15  17  20    4.69298289733E-01  -3.83349254517E+02   5.61756151433E-02
   1   4   6   8   9  11  12  15  17  20    4.69357065257E-01  -3.83349156471E+02   5.61714477285E-02
   1   4   6   8   9  12  13  15  16  17   -4.69298292765E-01  -3.83349260701E+02   5.61744330281E-02
   2   3   4   5   7  10  11  16  18  19    3.61344465440E-01  -3.83353480425E+02   6.45537312544E-02
   1   3   4   6   8   9  12  15  17  20    3.61344465440E-01  -3.83353480425E+02   6.45537312544E-02
   2   3   5   7  10  11  14  16  19  20    3.61299219276E-01  -3.83353583418E+02   6.45591873145E-02
   1   4   6   8   9  12  13  15  19  20    3.61299219276E-01  -3.83353583418E+02   6.45591873145E-02
   2   3   5   7  10  11  14  16  17  18    3.61299210671E-01  -3.83353588315E+02   6.45569184795E-02
   1   4   6   8   9  12  13  15  17  18    3.61299210671E-01  -3.83353588315E+02   6.45569184795E-02
